metric,avg_power_W,avg_power_W,avg_power_W,avg_power_W,duration_s,duration_s,duration_s,duration_s,nodes,nodes,nodes,nodes,total_energy,total_energy,total_energy,total_energy,cores,req_walltime,count
machine,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,,,
func_name,,,,,,,,,,,,,,,,,,,
125,1.5625532493307797,1.8115223501746576,4.5440625,0.6994238343000806,23.247072968712473,30.787538327992753,25.625,205.458747401892,4.0,1.0,2.0,1.0,2930.140302005523,9880.873439671652,14422.262499999999,31797.43788770079,64.0,60.0,16.0
126,3.1859787117221003,2.408327494876795,4.2,0.7831039757324683,56.07487049142296,74.4420925796057,60.0,498.16776786444063,4.0,1.0,2.0,1.0,12894.003621084485,26734.609032299377,32447.999999999996,79765.95267925889,64.0,60.0,1.0
127,2.642937057314347,2.20869403555434,4.56875,0.7551126712780443,34.0327075589077,42.40978751708789,44.5,283.3841593957347,4.0,1.0,2.0,1.0,6642.775158797429,14688.902104242628,25115.8,44867.42358787938,64.0,60.0,4.0
128,3.0356275276276232,2.3530552579307313,4.8925,0.775354062378839,43.1744739267765,54.59261250347523,54.0,365.0714919519225,4.0,1.0,2.0,1.0,9512.207079802945,19412.889332522973,31596.48,58273.68263270359,64.0,60.0,4.0
129,0.45451888100092824,1.195046977711391,3.5705,0.4474597237806616,6.242342964464326,8.253097974673429,7.6,54.36271421994226,4.0,1.0,2.0,1.0,344.135426092721,2323.1068314569793,3803.8912,7536.706569878283,64.0,60.0,10.0
13,3.4264815704331384,2.4967413196715786,2.4825,0.7955007683025704,41.258524237489894,43.96815558122137,74.5,293.8238462039977,1.0,1.0,1.0,1.0,2530.538159554508,10769.905666780523,13091.14,36060.41660885409,16.0,180.0,2.0
130,4.073118637093332,0.2994331648526722,5.1829629629629625,0.8288319443601069,362.0961551909751,468.3209129937432,416.8641975308642,3139.1572929326344,4.0,1.0,2.0,1.0,94145.00034965352,104980.55920495956,251664.93029721078,511824.6681588179,64.0,600.0,81.0
131,4.036952413128229,0.17253082903634825,5.0846728971962625,0.8269677878660742,277.4219174564081,360.88334118900633,313.8130841121495,2418.7814931442376,4.0,1.0,2.0,1.0,72129.69853866611,77965.94907435408,187477.9194270242,394082.24461174716,64.0,600.0,107.0
132,4.0399104556239624,0.18183781122013248,5.245833333333334,0.8271202624387728,254.60365162639465,319.68492991286263,320.1666666666667,2142.5285885382323,4.0,1.0,2.0,1.0,66196.94942286261,69255.7823400035,194575.95555555559,349094.38847900176,64.0,600.0,6.0
133,3.9869262030682826,0.06898998433514497,4.430714285714286,0.824389142165473,185.17789324035303,231.37542025218454,236.28571428571428,1550.4074027957786,4.0,1.0,2.0,1.0,48146.252242491784,48453.566695296926,131272.24163265305,252345.71215059556,64.0,720.0,7.0
