Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time
15, 75, 3, 1, 0.002085, 981.307993, 258.123641
16, 76, 0, 3, 0.011908, 990.490212, 216.846272
17, 76, 1, 2, 0.188647, 987.652120, 305.477949
18, 76, 2, 3, 0.011908, 983.512702, 216.983965
19, 76, 3, 2, 0.188647, 981.119346, 308.772216
20, 77, 0, 2, 0.002156, 990.488056, 308.809830
21, 77, 1, 2, 0.002156, 987.649965, 308.847443
22, 77, 2, 3, 0.009122, 983.503580, 217.089138
23, 77, 3, 3, 0.009122, 981.110224, 217.194310
24, 78, 0, 2, 0.030417, 990.457639, 309.380238
25, 78, 1, 2, 0.030417, 987.619548, 309.913032
26, 78, 2, 3, 0.067142, 983.436438, 217.957282
27, 78, 3, 1, 0.049588, 981.060636, 259.190548
28, 79, 0, 1, 0.000294, 990.457345, 259.194601
29, 79, 1, 2, 0.000327, 987.619220, 309.918709
30, 79, 2, 3, 0.002250, 983.434188, 217.983065
31, 79, 3, 2, 0.000327, 981.060309, 309.924386
0, 80, 0, 2, 0.889830, 989.567515, 321.139742
1, 80, 1, 2, 0.996811, 986.622409, 332.355099
2, 80, 2, 3, 1.498213, 981.935975, 234.244715
3, 80, 3, 3, 1.498213, 979.562096, 250.506365
4, 81, 0, 1, 0.002486, 989.565029, 259.248558
5, 81, 1, 2, 0.002546, 986.619864, 332.398750
6, 81, 2, 0, 0.003434, 981.932541, 3.367614
7, 81, 3, 2, 0.002546, 979.559550, 332.442402
8, 82, 0, 2, 0.015681, 989.549348, 332.701932
9, 82, 1, 2, 0.015681, 986.604183, 332.961463
10, 82, 2, 3, 0.045591, 981.886950, 251.025756
11, 82, 3, 2, 0.015681, 979.543869, 333.220994
12, 83, 0, 2, 0.001493, 989.547855, 333.247049
13, 83, 1, 2, 0.001493, 986.602690, 333.273105
14, 83, 2, 3, 0.011672, 981.875278, 251.159476
15, 83, 3, 2, 0.001493, 979.542376, 333.299160
16, 84, 0, 3, 0.011908, 989.535947, 251.297169
17, 84, 1, 2, 0.188647, 986.414042, 336.593427
18, 84, 2, 3, 0.011908, 981.863370, 251.434862
19, 84, 3, 2, 0.188647, 979.353729, 339.887694
