Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time, Energy_used_watt_hours, Number_of_cores_hours_used, Queue_time, Mean_duration_on_machines, Number_of_cores_used
2103, 36, 4, 3, 401373.680344, -46628173.725763, 367776.198434, 562.864277, 5878.917347, 301638.378279, 160331.752806, 320
2103, 36, 5, 0, 53922.870428, 97170484.981139, 2465957.894924, 2355.815640, 39418.044362, 2022504.895849, 160331.752806, 320
2103, 36, 6, 1, 36990.508913, 84562975.681506, 305397.989922, 273.910574, 6826.666667, 228597.989922, 160331.752806, 320
2103, 36, 7, 2, 107938.221228, 51803961.648521, 279884.209326, 286.831799, 4883.217066, 224948.017332, 160331.752806, 320
2103, 36, 8, 3, 401373.680344, -46628173.725763, 367776.198434, 562.864277, 5878.917347, 301638.378279, 160331.752806, 320
3224, 36, 0, 0, 24007.743549, 97380879.032005, 1971727.183738, 1118.817285, 197.665917, 1936147.318683, 12369.669930, 20
3224, 36, 1, 2, 78257.539125, 52228093.439620, 228974.646872, 207.959242, 22.577109, 224910.767261, 12369.669930, 20
3224, 36, 2, 0, 24007.743549, -3609255.123396, 47867.498996, 1118.817285, 197.665917, 12287.633941, 12369.669930, 20
3224, 36, 3, 2, 78257.539125, 78770995.340854, 158366.081592, 207.959242, 22.577109, 154302.201981, 12369.669930, 20
3224, 36, 4, 3, 174139.230484, -46802312.956246, 373082.733486, 252.668794, 29.480750, 367776.198434, 12369.669930, 20
3224, 36, 5, 0, 24007.743549, 97146477.237589, 2501537.759979, 1118.817285, 197.665917, 2465957.894924, 12369.669930, 20
3224, 36, 6, 1, 54052.701870, 84508922.979636, 309926.389922, 599.805176, 25.157778, 305397.989922, 12369.669930, 20
3224, 36, 7, 2, 78257.539125, 51725704.109396, 283948.088937, 207.959242, 22.577109, 279884.209326, 12369.669930, 20
3224, 36, 8, 3, 174139.230484, -46802312.956246, 373082.733486, 252.668794, 29.480750, 367776.198434, 12369.669930, 20
1114, 36, 0, 0, 1124607.109092, 96256271.922912, 2883937.357545, 49138.558983, 20271.337196, 1971727.183738, 308160.316858, 80
1114, 36, 1, 2, 2354065.585551, 49874027.854068, 326925.788713, 6255.623433, 2176.692041, 228974.646872, 308160.316858, 80
1114, 36, 2, 1, 1345979.504483, -4955234.627879, 169208.832411, 16612.713847, 1920.755556, 82774.832411, 308160.316858, 80
1114, 36, 3, 1, 1345979.504483, 77425015.836371, 184102.333333, 16612.713847, 1920.755556, 97668.333333, 308160.316858, 80
1114, 36, 4, 3, 8392134.947483, -55194447.903729, 509128.685270, 11823.830786, 3023.243373, 373082.733486, 308160.316858, 80
1114, 36, 5, 0, 1124607.109092, 96021870.128497, 3413747.933785, 49138.558983, 20271.337196, 2501537.759979, 308160.316858, 80
1114, 36, 6, 1, 1345979.504483, 83162943.475153, 396360.389922, 16612.713847, 1920.755556, 309926.389922, 308160.316858, 80
1114, 36, 7, 2, 2354065.585551, 49371638.523844, 381899.230777, 6255.623433, 2176.692041, 283948.088937, 308160.316858, 80
1114, 36, 8, 3, 8392134.947483, -55194447.903729, 509128.685270, 11823.830786, 3023.243373, 373082.733486, 308160.316858, 80
1829, 36, 0, 0, 1026802.059392, 95229469.863520, 3346466.230621, 44865.060183, 25696.048504, 2883937.357545, 164540.475786, 200
1829, 36, 1, 2, 2178433.250598, 47695594.603471, 382355.856560, 5788.903323, 3079.448214, 326925.788713, 164540.475786, 200
1829, 36, 2, 2, 2178433.250598, -7133667.878476, 163428.538858, 5788.903323, 3079.448214, 107998.471011, 164540.475786, 200
1829, 36, 3, 3, 7662281.248280, 69762734.588090, 127561.186920, 10795.464675, 3832.356235, 58578.774698, 164540.475786, 200
1829, 36, 4, 3, 7662281.248280, -62856729.152010, 578111.097492, 10795.464675, 3832.356235, 509128.685270, 164540.475786, 200
